seed	r	mw	n	co	sa	sna	score
373	19	39	46	62	34	12484	4936270
374	24	17	45	47	99	9906	5783299
375	13	26	29	62	46	17037	4896974
376	19	8	26	59	48	441	895721
377	24	15	23	80	71	13811	5921731
378	12	67	43	48	13	21002	3612698
379	9	6	23	23	88	10754	2596088
380	14	20	29	74	60	11829	4962804
381	14	21	25	97	31	7248	2990430
382	19	19	45	95	93	5535	6358994
